ticker,currency,asset_class,fund_benchmark,fund_category,fund_dividend_policy,fund_domicile,fund_global_category,asset_type,category_type,category_subdetail,issuer,market_cap,ongoing_charge_tercile,super_region,region_group
100Hp.DXE,EUR,EQUITY,FTSE 100 TR,United Kingdom,CAPITALIZATION,LU,Equity UK,Equity,Region,UK,Amundi,50952932.0,2.0,Europe,Western Europe
36B6d.DXE,USD,EQUITY,MSCI USA SRI Select Reduced Fossil Fuel TR USD,United States of America,DISTRIBUTION,IE,Equity US,Equity,Region,US,BlackRock,403873564.0,2.0,Americas,North America
3D3Dd.DXE,EUR,EQUITY,MSCI Europe TR EUR,Europe,CAPITALIZATION,IE,Equity Europe,Equity,Region,Europe,Robec Instl Mgmt,9713090.0,2.0,Europe,Europe All
3DGLd.DXE,USD,EQUITY,MSCI World TR USD,Global,CAPITALIZATION,IE,Equity Global,Equity,Region,Global,Robec Instl Mgmt,15451525.0,2.0,Global,Global
3DUSd.DXE,USD,EQUITY,S&P 500 TR,United States of America,CAPITALIZATION,IE,Equity US,Equity,Region,US,Robec Instl Mgmt,10360252.0,2.0,Americas,North America
4BRZd.DXE,USD,EQUITY,MSCI Brazil NR USD,Brazil,CAPITALIZATION,DE,Equity Brazil,Equity,Region,Brazil,BlackRock,1948790700.0,2.0,Americas,Latin America
500Hp.DXE,EUR,EQUITY,S&P 500 TR,United States of America,CAPITALIZATION,LU,Equity US,Equity,Region,US,Amundi,335360587.0,2.0,Americas,North America
500Up.DXE,USD,EQUITY,S&P 500 TR,United States of America,CAPITALIZATION,LU,Equity US,Equity,Region,US,Amundi,4141948897.0,1.0,Americas,North America
500p.DXE,EUR,EQUITY,S&P 500 TR,United States of America,CAPITALIZATION,LU,Equity US,Equity,Region,US,Amundi,2216068766.0,1.0,Americas,North America
5HEUd.DXE,EUR,EQUITY,,Europe,DISTRIBUTION,IE,Equity Europe,Equity,Region,Europe,Ossiam,28244845.0,3.0,Europe,Europe All
8R80d.DXE,CHF,EQUITY,,Japan,CAPITALIZATION,LU,Equity Japan,Equity,Region,Japan,Amundi,4032258.0,2.0,Asia,East Asia
AASIp.DXE,EUR,EQUITY,MSCI EM Asia TR USD,Asia Pacific ex Japan,CAPITALIZATION,LU,Equity Emerging Mkts Asia,Equity,Region,Emerging Mkts Asia,Amundi,789568973.0,2.0,Asia,Asia Pacific
AASUp.DXE,USD,EQUITY,MSCI EM Asia TR USD,Asia Pacific ex Japan,CAPITALIZATION,LU,Equity Emerging Mkts Asia,Equity,Region,Emerging Mkts Asia,Amundi,595845003.0,2.0,Asia,Asia Pacific
ACWIp.DXE,EUR,EQUITY,MSCI AC World NR USD,Global,CAPITALIZATION,LU,Equity Global,Equity,Region,Global,Amundi,1414123602.0,3.0,Global,Global
AE5Bd.DXE,EUR,EQUITY,MSCI Europe Climate Action NR USD,Europe,DISTRIBUTION,LU,Equity Europe,Equity,Region,Europe,Amundi,600819687.0,1.0,Europe,Europe All
AEEMp.DXE,EUR,EQUITY,MSCI EM (Emerging Markets) NR USD,Global Emerging Markets,CAPITALIZATION,LU,Equity Emerging Mkts Global,Equity,Region,Emerging Mkts Global,Amundi,2323961775.0,2.0,Global,Emerging Markets
AEJp.DXE,EUR,EQUITY,MSCI AC Asia Pacific ex Japan NR USD,Asia Pacific ex Japan,CAPITALIZATION,LU,Equity Asia Pacific ex Japan,Equity,Region,Asia Pacific ex Japan,Amundi,386433297.0,3.0,Asia,Asia Pacific
AEMEp.DXE,EUR,EQUITY,MSCI EM (Emerging Markets) NR USD,Global Emerging Markets,CAPITALIZATION,LU,Equity Emerging Mkts Global,Equity,Region,Emerging Mkts Global,Amundi,2995513310.0,2.0,Global,Emerging Markets
AH50d.DXE,USD,EQUITY,FTSE China A50 TR CNH,China,DISTRIBUTION,LU,Equity China,Equity,Region,China,DWS,10830886.0,3.0,Asia,East Asia
AHYRd.DXE,USD,EQUITY,MSCI World NR USD,Global,DISTRIBUTION,LU,Equity Global,Equity,Region,Global,Amundi,5162693885.0,2.0,Global,Global
ALATp.DXE,EUR,EQUITY,MSCI EM Latin America TR USD,Latin America,CAPITALIZATION,LU,Equity Emerging Mkts Latin Am,Equity,Region,Emerging Mkts Latin Am,Amundi,128449368.0,2.0,Americas,Latin America
ALAUp.DXE,USD,EQUITY,MSCI EM Latin America TR USD,Latin America,CAPITALIZATION,LU,Equity Emerging Mkts Latin Am,Equity,Region,Emerging Mkts Latin Am,Amundi,62453919.0,2.0,Americas,Latin America
ANAVd.DXE,USD,EQUITY,NASDAQ 100 TR,United States of America,CAPITALIZATION,IE,Equity US,Equity,Region,US,AXA,1093488181.0,1.0,Americas,North America
ANXUp.DXE,USD,EQUITY,NASDAQ 100 TR,United States of America,CAPITALIZATION,LU,Equity US,Equity,Region,US,Amundi,420750275.0,2.0,Americas,North America
ANXp.DXE,EUR,EQUITY,NASDAQ 100 TR,United States of America,CAPITALIZATION,LU,Equity US,Equity,Region,US,Amundi,1386830461.0,2.0,Americas,North America
APXp.DXE,EUR,EQUITY,MSCI AC Asia ex Japan NR USD,Asia (ex-Japan),CAPITALIZATION,LU,Equity Asia Pacific ex Japan,Equity,Region,Asia Pacific ex Japan,Amundi,218016940.0,3.0,Asia,Asia Pacific
AUEMp.DXE,USD,EQUITY,MSCI EM (Emerging Markets) NR USD,Global Emerging Markets,CAPITALIZATION,LU,Equity Emerging Mkts Global,Equity,Region,Emerging Mkts Global,Amundi,891533910.0,2.0,Global,Emerging Markets
AW10d.DXE,USD,EQUITY,,Global,CAPITALIZATION,IE,Equity Global,Equity,Region,Global,UBS,10360154.0,1.0,Global,Global
AW1Hd.DXE,EUR,EQUITY,,EuroZone,CAPITALIZATION,IE,Equity EuroZone,Equity,Region,EuroZone,UBS,105171968.0,1.0,Europe,Europe All
BBVAIe.DXE,EUR,EQUITY,IBEX 35 TR,Spain,DISTRIBUTION,ES,Equity Spain,Equity,Region,Spain,BBVA Asst Mgmt,112355337.0,3.0,Europe,Western Europe
C1Up.DXE,EUR,EQUITY,,United Kingdom,CAPITALIZATION,LU,Equity UK,Equity,Region,UK,Amundi,39806212.0,2.0,Europe,Western Europe
